country_region,incidence_2020
South Africa,8.7
Eswatini,7.513333333333334
Botswana,6.12
Lesotho,5.2
Mozambique,5.133333333333333
Zambia,4.903333333333333
Namibia,2.743333333333333
Congo,2.4766666666666666
Zimbabwe,2.0300000000000002
Eastern and Southern Africa,1.7466666666666666
